Variable	Start	End
Variante 11.1 Raumlufttemperatur	5000	6000
Variante 11.1 Strahlungstemperatur	5000	6000
Variante 11.1 Trans.Strahlung.Fenster	5000	6000
Variante 11.2 Raumlufttemperatur	5000	6000
Variante 11.2 Strahlungstemperatur	5000	6000
Variante 11.2 Heizleistung	7000	8000
Variante 11.2 Trans.Strahlung.Fenster	5000	6000
Variante 11.3 Raumlufttemperatur	5000	6000
Variante 11.3 Strahlungstemperatur	5000	6000
Variante 11.3 Heizleistung	7000	8000
Variante 11.3 Trans.Strahlung.Fenster	5000	6000
Variante 11.4 Raumlufttemperatur	5000	6000
Variante 11.4 Strahlungstemperatur	5000	6000
Variante 11.4 Heizleistung	7000	8000
Variante 11.4 Trans.Strahlung.Fenster	5000	6000
Variante 11.5 Raumlufttemperatur	5000	6000
Variante 11.5 Strahlungstemperatur	5000	6000
Variante 11.5 Heizleistung	7000	8000
Variante 11.5 Trans.Strahlung.Fenster	5000	6000
Variante 11.6 Raumlufttemperatur	5000	6000
Variante 11.6 Strahlungstemperatur	5000	6000
Variante 11.6 Heizleistung	7000	8000
Variante 11.6 Trans.Strahlung.Fenster	5000	6000
